1:VALID CARD for testing
---------------------

Digits | Card Number         
-------|---------------------
10     | 5817664658          
11     | 74685241809         
12     | 275577142712        
13     | 1065493705638       
14     | 82198727015490      
15     | 433718915759850     
16     | 9387666563166307    
17     | 90163617717129204   
18     | 979553472540067037  
19     | 0637018491558066767 



2:InVALID CARD for testing
---------------------
Digits | Card Number         
-------|---------------------
10     | 2670597648          
11     | 84685742892         
12     | 902573939928        
13     | 9617346994187       
14     | 48435750724187      
15     | 208464008360835     
16     | 9651924949542339    
17     | 11583753385520119   
18     | 395544225988862601  
19     | 6382389039522132371 
